image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,70,100,8,4,1.0,1,NaN,0.0,false
scatter,70,100,8,4,1.0,2,NaN,0.0,false
scatter,70,100,8,4,1.0,3,NaN,0.0,false
scatter,70,100,8,4,1.0,4,NaN,0.0,false
scatter,70,100,8,6,0.0,0,NaN,0.0,false
scatter,70,100,8,6,0.0,1,NaN,0.0,false
scatter,70,100,8,6,0.0,2,NaN,0.0,false
scatter,70,100,8,6,0.0,3,NaN,0.0,false
scatter,70,100,8,6,0.0,4,NaN,0.0,false
scatter,70,100,8,6,0.5,0,NaN,0.0,false
scatter,70,100,8,6,0.5,1,NaN,0.0,false
scatter,70,100,8,6,0.5,2,NaN,0.0,false
scatter,70,100,8,6,0.5,3,NaN,0.0,false
scatter,70,100,8,6,0.5,4,NaN,0.0,false
scatter,70,100,8,6,1.0,0,NaN,0.0,false
scatter,70,100,8,6,1.0,1,NaN,0.0,false
scatter,70,100,8,6,1.0,2,NaN,0.0,false
scatter,70,100,8,6,1.0,3,NaN,0.0,false
scatter,70,100,8,6,1.0,4,NaN,0.0,false
scatter,70,100,8,8,0.0,0,NaN,0.0,false
scatter,70,100,8,8,0.0,1,NaN,0.0,false
scatter,70,100,8,8,0.0,2,NaN,0.0,false
scatter,70,100,8,8,0.0,3,NaN,0.0,false
scatter,70,100,8,8,0.0,4,NaN,0.0,false
scatter,70,100,8,8,0.5,0,NaN,0.0,false
scatter,70,100,8,8,0.5,1,NaN,0.0,false
scatter,70,100,8,8,0.5,2,NaN,0.0,false
scatter,70,100,8,8,0.5,3,NaN,0.0,false
scatter,70,100,8,8,0.5,4,NaN,0.0,false
scatter,70,100,8,8,1.0,0,NaN,0.0,false
scatter,70,100,8,8,1.0,1,NaN,0.0,false
scatter,70,100,8,8,1.0,2,NaN,0.0,false
scatter,70,100,8,8,1.0,3,NaN,0.0,false
scatter,70,100,8,8,1.0,4,NaN,0.0,false
scatter,70,100,8,10,0.0,0,NaN,0.0,false
scatter,70,100,8,10,0.0,1,NaN,0.0,false
scatter,70,100,8,10,0.0,2,NaN,0.0,false
scatter,70,100,8,10,0.0,3,NaN,0.0,false
scatter,70,100,8,10,0.0,4,NaN,0.0,false
scatter,70,100,8,10,0.5,0,NaN,0.0,false
scatter,70,100,8,10,0.5,1,NaN,0.0,false
scatter,70,100,8,10,0.5,2,NaN,0.0,false
scatter,70,100,8,10,0.5,3,NaN,0.0,false
scatter,70,100,8,10,0.5,4,NaN,0.0,false
scatter,70,100,8,10,1.0,0,NaN,0.0,false
scatter,70,100,8,10,1.0,1,NaN,0.0,false
scatter,70,100,8,10,1.0,2,NaN,0.0,false
scatter,70,100,8,10,1.0,3,NaN,0.0,false
scatter,70,100,8,10,1.0,4,NaN,0.0,false
scatter,70,100,32,1,0.0,0,25.729125,2.8933369156367545,true
scatter,70,100,32,1,0.0,1,25.457082999999997,2.9144790257104196,true
scatter,70,100,32,1,0.0,2,25.056583,2.926623788386629,true
scatter,70,100,32,1,0.0,3,23.973541,2.9359323882224646,true
scatter,70,100,32,1,0.0,4,24.14875,3.1187373298580945,true
scatter,70,100,32,1,0.5,0,39.337333,2.347039593171086,true
scatter,70,100,32,1,0.5,1,38.644167,2.380590966030506,true
scatter,70,100,32,1,0.5,2,38.880209,2.5338823529411765,true
scatter,70,100,32,1,0.5,3,50.303124999999994,2.0408717624763106,true
scatter,70,100,32,1,0.5,4,36.93,1.604200804409355,true
scatter,70,100,32,1,1.0,0,39.272375,2.271940928270042,true
scatter,70,100,32,1,1.0,1,38.923791,2.128260869565217,true
scatter,70,100,32,1,1.0,2,38.886334000000005,2.196858425132599,true
scatter,70,100,32,1,1.0,3,51.107166,1.8786416235389893,true
scatter,70,100,32,1,1.0,4,38.383458000000005,1.5597450876261285,true
scatter,70,100,32,4,0.0,0,25.843958999999998,2.895151895331123,true
scatter,70,100,32,4,0.0,1,25.299,2.918691842081489,true
scatter,70,100,32,4,0.0,2,24.255,2.9255637055148056,true
scatter,70,100,32,4,0.0,3,24.686,2.9434220116618075,true
scatter,70,100,32,4,0.0,4,23.673083000000002,3.1139277108433734,true
scatter,70,100,32,4,0.5,0,34.2,2.3506257275902214,true
scatter,70,100,32,4,0.5,1,35.091875,2.3825221238938052,true
scatter,70,100,32,4,0.5,2,34.080208,2.531301418161874,true
scatter,70,100,32,4,0.5,3,40.283667,2.0424200278164117,true
scatter,70,100,32,4,0.5,4,35.87775,1.5982487384980706,true
scatter,70,100,32,4,1.0,0,34.38525,2.2833415789101705,true
scatter,70,100,32,4,1.0,1,34.480084,2.2995942771727527,true
scatter,70,100,32,4,1.0,2,34.35125,2.1982037150438867,true
scatter,70,100,32,4,1.0,3,41.317833,1.884339457567804,true
scatter,70,100,32,4,1.0,4,35.860084,1.549199194399156,true
scatter,70,100,32,6,0.0,0,24.470499999999998,2.890748031496063,true
scatter,70,100,32,6,0.0,1,23.400375,2.926358695652174,true
scatter,70,100,32,6,0.0,2,24.059625,2.929542981501632,true
scatter,70,100,32,6,0.0,3,24.488875,2.937267024274934,true
scatter,70,100,32,6,0.0,4,23.196875,3.112127926018688,true
scatter,70,100,32,6,0.5,0,33.656584,2.3424448955916475,true
scatter,70,100,32,6,0.5,1,33.3035,2.3812928429276923,true
scatter,70,100,32,6,0.5,2,34.85275,2.5400581806745812,true
scatter,70,100,32,6,0.5,3,40.509042,2.0411296436694464,true
scatter,70,100,32,6,0.5,4,33.305209000000005,1.597774480712166,true
scatter,70,100,32,6,1.0,0,34.492458,2.2746602830387945,true
scatter,70,100,32,6,1.0,1,34.797458000000006,2.301888136800855,true
scatter,70,100,32,6,1.0,2,34.24116600000001,2.2051054535526586,true
scatter,70,100,32,6,1.0,3,40.317,1.8754789272030652,true
scatter,70,100,32,6,1.0,4,33.782667000000004,1.548530892009778,true
scatter,70,100,32,8,0.0,0,16.080292,2.921859455548521,true
scatter,70,100,32,8,0.0,1,16.179875,2.918691842081489,true
scatter,70,100,32,8,0.0,2,16.19525,2.9279499728113105,true
scatter,70,100,32,8,0.0,3,15.902625,2.94771897810219,true
scatter,70,100,32,8,0.0,4,15.921042,3.1256772445820435,true
scatter,70,100,32,8,0.5,0,18.389916999999997,2.5069449833165205,true
